,time,CameraLuminosity
33225,2024-03-15 09:25:39.053360+00:00,32661614.0
33226,2024-03-15 09:25:39.153684+00:00,32661141.0
33227,2024-03-15 09:25:39.253207+00:00,32661924.0
33228,2024-03-15 09:25:39.353213+00:00,32661924.0
33229,2024-03-15 09:25:39.453926+00:00,32660354.0
33230,2024-03-15 09:25:39.553543+00:00,32662105.0
33231,2024-03-15 09:25:39.652989+00:00,32660486.0
33232,2024-03-15 09:25:39.753284+00:00,32662338.0
33233,2024-03-15 09:25:39.853515+00:00,32662338.0
33234,2024-03-15 09:25:39.952870+00:00,32662441.0
33235,2024-03-15 09:25:40.053271+00:00,32655940.0
33236,2024-03-15 09:25:40.153386+00:00,32662544.0
33237,2024-03-15 09:25:40.253222+00:00,32666526.0
33238,2024-03-15 09:25:40.353148+00:00,32666526.0
33239,2024-03-15 09:25:40.453216+00:00,32663742.0
33240,2024-03-15 09:25:40.553078+00:00,32665435.0
33241,2024-03-15 09:25:40.652842+00:00,32662531.0
33242,2024-03-15 09:25:40.753317+00:00,32664035.0
33243,2024-03-15 09:25:40.852863+00:00,32663390.0
33244,2024-03-15 09:25:40.953312+00:00,32661462.0
33245,2024-03-15 09:25:41.053025+00:00,32666653.0
33246,2024-03-15 09:25:41.152709+00:00,32656366.0
33247,2024-03-15 09:25:41.252887+00:00,32660258.0
33248,2024-03-15 09:25:41.352434+00:00,32659539.0
33249,2024-03-15 09:25:41.452715+00:00,32657288.0
33250,2024-03-15 09:25:41.552812+00:00,32661299.0
33251,2024-03-15 09:25:41.652997+00:00,32659376.0
33252,2024-03-15 09:25:41.752652+00:00,32658237.0
33253,2024-03-15 09:25:41.852797+00:00,32660019.0
33254,2024-03-15 09:25:41.952502+00:00,32654819.0
33255,2024-03-15 09:25:42.052364+00:00,32661481.0
33256,2024-03-15 09:25:42.152407+00:00,32658607.0
33257,2024-03-15 09:25:42.252244+00:00,32663372.0
33258,2024-03-15 09:25:42.352233+00:00,32662216.0
33259,2024-03-15 09:25:42.452497+00:00,32663000.0
33260,2024-03-15 09:25:42.552241+00:00,32660280.0
33261,2024-03-15 09:25:42.652241+00:00,32655276.0
33262,2024-03-15 09:25:42.752623+00:00,32658555.0
33263,2024-03-15 09:25:42.852552+00:00,32660023.0
33264,2024-03-15 09:25:42.952481+00:00,32658816.0
33265,2024-03-15 09:25:43.051621+00:00,32656597.0
33266,2024-03-15 09:25:43.151858+00:00,32658301.0
33267,2024-03-15 09:25:43.252035+00:00,32661415.0
33268,2024-03-15 09:25:43.351868+00:00,32661415.0
33269,2024-03-15 09:25:43.452313+00:00,32659728.0
33270,2024-03-15 09:25:43.551875+00:00,32659418.0
33271,2024-03-15 09:25:43.652147+00:00,32657168.0
33272,2024-03-15 09:25:43.751631+00:00,32663402.0
33273,2024-03-15 09:25:43.852141+00:00,32661937.0
33274,2024-03-15 09:25:43.951924+00:00,32660869.0
33275,2024-03-15 09:25:44.051945+00:00,32660714.0
33276,2024-03-15 09:25:44.152024+00:00,32663617.0
33277,2024-03-15 09:25:44.251586+00:00,32658045.0
33278,2024-03-15 09:25:44.351667+00:00,32658478.0
33279,2024-03-15 09:25:44.452107+00:00,32662913.0
33280,2024-03-15 09:25:44.551945+00:00,32658797.0
33281,2024-03-15 09:25:44.651725+00:00,32666501.0
33282,2024-03-15 09:25:44.751461+00:00,32657462.0
33283,2024-03-15 09:25:44.852089+00:00,32657286.0
33284,2024-03-15 09:25:44.951861+00:00,32657354.0
33285,2024-03-15 09:25:45.051646+00:00,32658056.0
33286,2024-03-15 09:25:45.151209+00:00,32658884.0
33287,2024-03-15 09:25:45.251444+00:00,32656899.0
33288,2024-03-15 09:25:45.351472+00:00,32658909.0
33289,2024-03-15 09:25:45.451411+00:00,32661850.0
33290,2024-03-15 09:25:45.551218+00:00,32658941.0
33291,2024-03-15 09:25:45.651582+00:00,32658941.0
33292,2024-03-15 09:25:45.751256+00:00,32658941.0
33293,2024-03-15 09:25:45.851221+00:00,32658941.0
33294,2024-03-15 09:25:45.950944+00:00,32658941.0
33295,2024-03-15 09:25:46.050750+00:00,32658941.0
33296,2024-03-15 09:25:46.150663+00:00,32658941.0
33297,2024-03-15 09:25:46.250835+00:00,32658941.0
33298,2024-03-15 09:25:46.350994+00:00,32658941.0
33299,2024-03-15 09:25:46.451082+00:00,32658941.0
33300,2024-03-15 09:25:46.551128+00:00,32658941.0
33301,2024-03-15 09:25:46.651094+00:00,32658941.0
33302,2024-03-15 09:25:46.751355+00:00,32658941.0
33303,2024-03-15 09:25:46.850887+00:00,32658941.0
33304,2024-03-15 09:25:46.951168+00:00,32658941.0
33305,2024-03-15 09:25:47.050678+00:00,32658941.0
33306,2024-03-15 09:25:47.150327+00:00,32658941.0
33307,2024-03-15 09:25:47.250686+00:00,32658941.0
33308,2024-03-15 09:25:47.351066+00:00,32658941.0
33309,2024-03-15 09:25:47.450530+00:00,32658941.0
33310,2024-03-15 09:25:47.550701+00:00,32658941.0
33311,2024-03-15 09:25:47.650935+00:00,32658941.0
33312,2024-03-15 09:25:47.751208+00:00,32658941.0
33313,2024-03-15 09:25:47.850710+00:00,32658941.0
33314,2024-03-15 09:25:47.950970+00:00,32724018.0
33315,2024-03-15 09:25:48.050378+00:00,32724018.0
33316,2024-03-15 09:25:48.150570+00:00,32724018.0
33317,2024-03-15 09:25:48.250107+00:00,32724018.0
33318,2024-03-15 09:25:48.350686+00:00,32724018.0
33319,2024-03-15 09:25:48.450652+00:00,32724018.0
33320,2024-03-15 09:25:48.550923+00:00,32724018.0
33321,2024-03-15 09:25:48.650778+00:00,32661795.0
33322,2024-03-15 09:25:48.750673+00:00,32664355.0
33323,2024-03-15 09:25:48.850887+00:00,32664355.0
33324,2024-03-15 09:25:48.951835+00:00,32663404.0
33325,2024-03-15 09:25:49.050922+00:00,32659380.0
33326,2024-03-15 09:25:49.150744+00:00,32656962.0
33327,2024-03-15 09:25:49.250826+00:00,32662843.0
33328,2024-03-15 09:25:49.350535+00:00,32662843.0
33329,2024-03-15 09:25:49.451073+00:00,32659568.0
33330,2024-03-15 09:25:49.550725+00:00,32660854.0
33331,2024-03-15 09:25:49.650534+00:00,32662063.0
33332,2024-03-15 09:25:49.750732+00:00,32654568.0
33333,2024-03-15 09:25:49.850546+00:00,32654568.0
33334,2024-03-15 09:25:49.950683+00:00,32657993.0
33335,2024-03-15 09:25:50.050635+00:00,32659346.0
33336,2024-03-15 09:25:50.150424+00:00,32662336.0
33337,2024-03-15 09:25:50.250278+00:00,32655714.0
33338,2024-03-15 09:25:50.350502+00:00,32655714.0
33339,2024-03-15 09:25:50.450806+00:00,32655685.0
33340,2024-03-15 09:25:50.550134+00:00,32654917.0
33341,2024-03-15 09:25:50.650373+00:00,32655864.0
33342,2024-03-15 09:25:50.750734+00:00,32659432.0
33343,2024-03-15 09:25:50.850219+00:00,32659432.0
33344,2024-03-15 09:25:50.949924+00:00,32656554.0
33345,2024-03-15 09:25:51.050908+00:00,32657325.0
33346,2024-03-15 09:25:51.150319+00:00,32661311.0
33347,2024-03-15 09:25:51.250291+00:00,32660815.0
33348,2024-03-15 09:25:51.350579+00:00,32660815.0
33349,2024-03-15 09:25:51.450060+00:00,32652665.0
33350,2024-03-15 09:25:51.549747+00:00,32659950.0
33351,2024-03-15 09:25:51.650160+00:00,32660924.0
33352,2024-03-15 09:25:51.749889+00:00,32661190.0
33353,2024-03-15 09:25:51.850294+00:00,32661190.0
33354,2024-03-15 09:25:51.950183+00:00,32659399.0
33355,2024-03-15 09:25:52.050138+00:00,32664701.0
33356,2024-03-15 09:25:52.150205+00:00,32656842.0
33357,2024-03-15 09:25:52.250073+00:00,32657960.0
33358,2024-03-15 09:25:52.350013+00:00,32658226.0
